124;[155, 264, 296, 757, 1208, 1213, 1442, 1656, 1735, 1908]
125;[354, 594, 637, 646, 757, 1136, 1279, 1530, 1859]
126;[14, 257, 493, 574, 629, 705, 718, 725, 854, 1014, 1064, 1220, 1228, 1261, 1278, 1313, 1387, 1650, 1689, 1806]
127;[350, 525, 613, 904, 949, 1038, 1329, 1433, 1447, 1857]
128;[57, 186, 422, 1235, 1431, 1455]
129;[204, 528, 614, 748, 817, 894, 954, 1029, 1380, 1413, 1423, 1437, 1579, 1581, 1714, 1768, 1769]
130;[615, 643, 841, 938, 1117, 1291, 1329, 1346, 1825, 1873]
131;[65, 279, 1311, 1617]
132;[18, 1549]
133;[681, 711, 792, 900, 1009, 1051, 1620]
134;[385, 1452, 1738, 1746]
135;[97, 102, 544, 615, 660, 815, 859, 1117, 1209, 1868]
136;[8, 307, 500, 559, 624, 635, 1172, 1297, 1322, 1638, 1732, 1913]
137;[618, 1512, 1667]
138;[216, 383, 501, 1283, 1309]
